o the Gentile~99~Intro 1:2
 Gentile~112~Intro 1:2
 ye may be~23~Intro 1:3
 may be~113~Intro 1:3
 be~4029~Intro 1:2
 I make~25~1 Nephi 1:1
 make~169~1 Nephi 1:1
 of~5092~Intro 1:2
 hand~384~Intro 1:2
 with~1276~1 Nephi 1:3
 repent~305~1 Nephi 1:4
 he saw~34~1 Nephi 1:6
 saw~226~1 Nephi 1:6
 with the~374~1 Nephi 1:7
 the~6258~Intro 1:2
 in~3311~Intro 1:2
 was~1191~1 Nephi 1:1
 did~1250~1 Nephi 1:6
 unto him a~23~1 Nephi 1:11
 him a~98~1 Nephi 1:11
 a~6182~Intro 1:2
 he~2679~Intro 1:3
 and~4978~Intro 1:2
 those~410~1 Nephi 1:14
 seen~102~1 Nephi 1:1
 children of~165~1 Nephi 3:7
 will~796~1 Nephi 1:17
 them concerning the~24~1 Nephi 1:18
 concerning the~194~1 Nephi 1:18
 of the~2862~Intro 1:2
 to make~24~1 Nephi 1:20
 thee~213~1 Nephi 1:14
 that he should~82~1 Nephi 1:11
 he should~112~1 Nephi 1:11
 should~888~1 Nephi 1:11
 the word of the Lord~29~1 Nephi 2:3
 word of the Lord~29~1 Nephi 2:3
 of the Lord~449~Intro 1:3
 the Lord~1205~Intro 1:2
 Lord~1275~Intro 1:2
 and my~78~1 Nephi 2:5
 my~1178~1 Nephi 1:1
 valley~36~1 Nephi 2:6
 unto the Lord~118~Intro 1:2
 the valley~27~1 Nephi 2:8
 river~41~1 Nephi 2:6
 had done~48~1 Nephi 2:11
 done~194~Intro 1:3
 not the~69~Intro 1:3
 sought~58~1 Nephi 1:20
 against~465~1 Nephi 2:11
 I did~70~1 Nephi 2:16
 And it came~1065~1 Nephi 1:6
 it came~1301~1 Nephi 1:5
 came~1455~1 Nephi 1:5
 of their~546~1 Nephi 1:19
 their~1638~Intro 1:3
 thou~497~1 Nephi 1:8
 they shall be~98~1 Nephi 2:21
 shall be~581~1 Nephi 2:20
 be made~35~1 Nephi 2:22
 made~253~1 Nephi 1:17
 thy~293~1 Nephi 1:14
 to~3946~Intro 1:2
 me that~64~1 Nephi 3:2
 that~3992~Intro 1:2
 the records~46~1 Nephi 3:4
 records~65~1 Nephi 3:4
 of them~132~1 Nephi 1:19
 them~1964~1 Nephi 1:18
 them that they~63~1 Nephi 3:7
 that they~898~Intro 1:2
 they~2510~Intro 1:2
 knew~85~1 Nephi 2:12
 tents~37~1 Nephi 2:4
 I~2064~Intro 1:2
 upon the plates of~21~1 Nephi 3:12
 the plates of~40~1 Nephi 3:12
 plates of~50~1 Nephi 3:3
 were about~32~1 Nephi 3:14
 about~235~1 Nephi 3:14
 he hath~122~1 Nephi 1:16
 hath~405~Intro 1:3
 must be~39~1 Nephi 1:4
 it must needs~21~1 Nephi 3:18
 must needs~36~1 Nephi 3:18
 needs~37~1 Nephi 3:18
 preserve~81~1 Nephi 3:19
 that they might~132~Intro 1:2
 they might~153~Intro 1:2
 might~458~Intro 1:2
 our~501~1 Nephi 2:7
